City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
252,Maebaru,JP,33.55,130.2,62.01,41,20,14.97,few clouds
253,George,ZA,-33.963,22.4617,55.4,94,0,3.44,clear sky
254,Erenhot,CN,43.6475,111.9767,45.1,21,100,10.13,overcast clouds
255,Luena,AO,-11.7833,19.9167,60.21,97,15,0.89,few clouds
256,Skjold,DK,55.7971,9.9397,39.99,93,100,5.99,overcast clouds
257,Half Moon Bay,US,37.4636,-122.4286,55.4,87,90,12.66,mist
258,Viedma,AR,-40.8135,-62.9967,68.41,35,1,14.25,clear sky
259,Necochea,AR,-38.5473,-58.7368,54.0,93,72,1.99,broken clouds
260,Xiongzhou,CN,25.1167,114.3,62.31,47,100,2.86,overcast clouds
261,Port Hardy,CA,50.6996,-127.4199,44.6,76,40,9.22,scattered clouds
262,Marchena,ES,37.329,-5.4168,51.01,87,0,4.61,clear sky
263,Ordynskoye,RU,54.3656,81.8994,25.97,92,100,6.29,overcast clouds
264,Vardo,NO,70.3705,31.1107,30.24,90,100,29.44,light snow
265,Sola,VU,-13.8833,167.55,81.03,69,9,6.55,light rain
266,Sandwick,GB,60.0,-1.25,46.4,87,75,12.66,broken clouds
267,Shakawe,BW,-18.3667,21.85,69.06,76,71,3.42,broken clouds
268,Poum,NC,-20.2333,164.0167,80.29,68,66,13.42,broken clouds
269,Uray,RU,60.1247,64.7758,17.8,93,100,9.42,overcast clouds
270,Lamu,KE,-2.2717,40.902,80.6,83,20,4.61,few clouds
271,Waipawa,NZ,-41.4122,175.5153,64.0,72,100,10.36,overcast clouds
272,Havoysund,NO,70.9963,24.6622,37.4,75,75,16.11,broken clouds
273,Aksu,CN,41.1231,80.2644,50.76,35,100,4.41,overcast clouds
274,Ambon,ID,-3.6954,128.1814,91.4,62,20,5.75,few clouds
275,Moron,AR,-34.6534,-58.6198,68.0,81,53,0.34,broken clouds
276,Madang,PG,-5.2246,145.7966,87.55,64,86,6.96,overcast clouds
277,Tecpan,GT,14.7623,-90.9947,64.4,82,75,11.5,broken clouds
278,Torbay,CA,47.6666,-52.7314,39.2,52,20,19.57,few clouds
279,Marsh Harbour,BS,26.5412,-77.0636,69.69,66,0,8.66,clear sky
280,Puerto Penasco,MX,31.3167,-113.5333,63.0,69,0,11.99,clear sky
281,Naze,JP,28.3667,129.4833,64.4,48,75,10.36,broken clouds
282,Beringovskiy,RU,63.05,179.3167,16.99,89,100,10.51,overcast clouds
283,San Juan,AR,-31.5375,-68.5364,68.27,46,0,1.81,clear sky
284,Baturite,BR,-4.3286,-38.8847,72.03,94,16,2.24,few clouds
285,Pionerskiy,RU,54.9508,20.2275,39.2,87,0,6.71,clear sky
286,Eshowe,ZA,-28.8865,31.4699,56.61,86,57,4.72,broken clouds
287,Loukhi,RU,66.0764,33.0381,16.92,82,100,8.37,overcast clouds
288,Vestmannaeyjar,IS,63.4427,-20.2734,39.4,51,100,29.55,overcast clouds
289,Gouyave,GD,12.1646,-61.7296,80.6,74,20,23.02,few clouds
290,Segovia,ES,41.1667,-4.0,39.99,61,12,4.83,few clouds
291,Vasilyevo,RU,55.836,48.6582,28.4,93,90,8.95,overcast clouds
292,Cuiluan,CN,47.72,128.648,42.62,55,38,10.58,scattered clouds
293,Chontalpa,MX,17.7,-93.5167,72.48,80,0,6.46,clear sky
294,Pyinmana,MM,19.7333,96.2167,92.34,39,0,11.48,clear sky
295,Mujiayingzi,CN,42.1167,118.7833,54.07,16,100,13.38,overcast clouds
296,Guane,CU,22.2025,-84.0875,64.65,77,5,5.23,clear sky
297,Odlabari,IN,26.8333,88.6167,86.95,16,19,4.72,few clouds
298,Colares,PT,38.7992,-9.4469,55.99,62,4,11.99,clear sky
299,Narsaq,GL,60.9167,-46.05,15.8,53,75,5.75,broken clouds
300,Karatau,KZ,43.1667,70.4667,50.02,64,28,34.81,scattered clouds
301,Mount Gambier,AU,-37.8333,140.7667,71.6,68,90,9.22,overcast clouds
302,Bathsheba,BB,13.2167,-59.5167,77.0,61,20,18.41,few clouds
303,Berlevag,NO,70.8578,29.0864,32.38,89,100,29.39,light snow
304,Sidney,AU,-33.8679,151.2073,66.2,94,75,19.57,moderate rain
305,Mani,CO,4.8172,-72.2886,78.98,72,100,4.27,overcast clouds
306,Pemangkat,ID,1.1667,108.9667,83.62,70,50,4.47,scattered clouds
307,Honningsvag,NO,70.9821,25.9704,35.58,90,100,29.91,overcast clouds
308,Bulawayo,ZW,-20.15,28.5833,61.92,89,97,13.13,overcast clouds
309,Airai,TL,-8.9266,125.4092,72.23,70,99,1.79,overcast clouds
310,Nome,US,64.5011,-165.4064,1.4,71,1,17.27,clear sky
311,Amethi,IN,26.15,81.8167,88.29,15,2,2.57,clear sky
312,Chara,RU,56.9064,118.2631,4.82,82,94,2.57,overcast clouds
313,Gambela,ET,8.25,34.5833,77.5,53,36,3.6,scattered clouds
314,Nouadhibou,MR,20.931,-17.0347,60.8,72,0,17.27,clear sky
315,Mulege,MX,26.8833,-111.9833,60.33,40,82,3.27,broken clouds
316,Godo,JP,35.4167,136.6,54.0,43,20,5.75,few clouds
317,Coquimbo,CL,-29.9533,-71.3436,59.0,94,0,1.14,clear sky
318,Kharan,PK,28.5833,65.4167,66.7,29,0,3.15,clear sky
319,Ayan,RU,56.45,138.1667,3.79,50,2,18.95,clear sky
320,Rusape,ZW,-18.5278,32.1284,58.35,98,73,3.8,broken clouds
321,Avera,US,33.194,-82.5271,57.99,77,40,5.75,scattered clouds
322,Craig,US,40.5153,-107.5464,39.2,38,90,13.71,overcast clouds
323,Carballo,ES,43.213,-8.691,50.0,100,0,5.75,clear sky
324,Valdivia,CL,-39.8142,-73.2459,55.4,71,91,3.44,overcast clouds
325,Yar-Sale,RU,66.8333,70.8333,7.12,96,97,7.45,overcast clouds
326,Nanortalik,GL,60.1432,-45.2371,21.72,70,48,9.6,scattered clouds
327,Marsa Matruh,EG,31.3525,27.2453,63.93,75,89,16.82,overcast clouds
328,Manta,EC,-0.95,-80.7333,77.0,78,40,3.44,scattered clouds
329,Nuevo Progreso,MX,23.1667,-97.95,73.0,66,54,3.0,broken clouds
330,Puerto Escondido,MX,15.85,-97.0667,80.6,78,1,9.22,clear sky
331,Rawson,AR,-43.3002,-65.1023,63.79,64,0,6.6,clear sky
332,Opuwo,NA,-18.0607,13.84,70.41,76,96,0.54,light rain
333,Labuhan,ID,-6.8844,112.2051,84.27,68,100,4.18,overcast clouds
334,Pangnirtung,CA,66.1451,-65.7125,-27.96,98,100,4.47,overcast clouds
335,Zhigansk,RU,66.7697,123.3711,-17.66,87,67,12.19,broken clouds
