City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
40,Thompson,75,CA,2021-03-23 02:46:21,44,55.7435,-97.8558,14.0,10.36
41,Tuy Hoa,78,VN,2021-03-23 02:46:21,83,13.0833,109.3,78.22,17.69
42,Avarua,61,CK,2021-03-23 02:46:21,78,-21.2078,-159.775,82.4,6.69
43,Barrow,90,US,2021-03-23 02:46:22,64,71.2906,-156.7887,-7.6,5.75
44,Tiksi,100,RU,2021-03-23 02:46:22,96,71.6872,128.8694,-16.04,6.98
45,Sobreira,12,PT,2021-03-23 02:46:23,80,41.5237,-7.8023,42.01,1.01
46,Hermanus,1,ZA,2021-03-23 02:46:23,77,-34.4187,19.2345,66.0,11.01
47,Ribeira Grande,40,PT,2021-03-23 02:46:24,62,38.5167,-28.7,57.2,18.41
48,Kruisfontein,0,ZA,2021-03-23 02:46:24,93,-34.0033,24.7314,55.99,1.01
49,Hithadhoo,7,MV,2021-03-23 02:46:24,69,-0.6,73.0833,83.35,7.76
50,Khatanga,88,RU,2021-03-23 02:46:25,80,71.9667,102.5,-12.26,5.73
51,Qaanaaq,62,GL,2021-03-23 02:46:25,68,77.484,-69.3632,-17.88,6.58
52,Albany,0,US,2021-03-23 02:42:01,40,42.6001,-73.9662,50.0,3.31
53,Lebu,39,CL,2021-03-23 02:46:26,90,-37.6167,-73.65,55.02,10.42
54,Saint George,1,US,2021-03-23 02:45:52,21,37.1041,-113.5841,57.2,8.05
55,Batagay-Alyta,100,RU,2021-03-23 02:46:26,89,67.8006,130.4114,-4.14,5.93
56,Torbay,20,CA,2021-03-23 02:43:14,52,47.6666,-52.7314,39.2,19.57
57,Sabang,100,ID,2021-03-23 02:46:27,70,5.8933,95.3214,84.07,15.88
58,Vardo,100,NO,2021-03-23 02:46:27,90,70.3705,31.1107,30.24,29.44
59,Red Deer,90,CA,2021-03-23 02:42:34,80,52.2668,-113.802,30.2,17.27
60,Ostrovnoy,90,RU,2021-03-23 02:46:28,90,68.0531,39.5131,11.62,12.57
61,Port Lincoln,1,AU,2021-03-23 02:46:28,56,-34.7333,135.8667,72.43,11.14
62,Busselton,53,AU,2021-03-23 02:46:29,61,-33.65,115.3333,62.01,1.01
63,Seymchan,100,RU,2021-03-23 02:46:29,83,62.8833,152.4333,7.43,19.71
64,San Quintin,0,MX,2021-03-23 02:46:10,81,30.4833,-115.95,56.28,14.23
65,Aljezur,1,PT,2021-03-23 02:46:30,78,37.3191,-8.8033,50.74,4.45
